,Country_Region,ConfirmedCases,Fatalities,lat,lon,continent,population,area,density
0,Afghanistan,6053.0,153.0,33.0,65.0,Asia,38041754,652230,58.33
1,Albania,916.0,31.0,41.1533,20.1683,Europe,2880917,28748,100.21
2,Algeria,6629.0,536.0,28.0339,1.6596,Africa,43053054,2381741,18.08
3,Andorra,761.0,49.0,42.5063,1.5218,Europe,77142,468,164.83
4,Angola,48.0,2.0,-11.2027,17.8739,Africa,31825295,1246700,25.53
5,Antigua and Barbuda,25.0,3.0,17.0608,-61.7964,Americas,97118,442,219.72
6,Argentina,7479.0,356.0,-38.4161,-63.6167,Americas,44780677,2780400,16.11
7,Armenia,4044.0,52.0,40.0691,45.0382,Asia,2957731,29743,99.44
8,Australia,7035.0,98.0,-35.4735,149.0124,Oceania,51063062,15791221,233.52
9,Austria,16109.0,628.0,47.5162,14.5501,Europe,8955102,83871,106.77
10,Azerbaijan,2980.0,36.0,40.1431,47.5769,Asia,10047718,86600,116.02
11,Bahamas,96.0,11.0,25.0343,-77.3963,Americas,389482,13943,27.93
12,Bahrain,6583.0,12.0,26.0275,50.55,Asia,1641172,778,2109.48
13,Bangladesh,20065.0,298.0,23.685,90.3563,Asia,163046161,147570,1104.87
14,Barbados,85.0,7.0,13.1939,-59.5432,Americas,287025,430,667.5
15,Belarus,27730.0,156.0,53.7098,27.9534,Europe,9452411,207600,45.53
16,Belgium,54644.0,8959.0,50.8333,4.0,Europe,11539328,30528,377.99
17,Belize,18.0,2.0,13.1939,-59.5432,Americas,390353,22966,17.0
18,Benin,339.0,2.0,9.3077,2.3158,Africa,11801151,114763,102.83
19,Bhutan,21.0,0.0,27.5142,90.4336,Asia,763092,38394,19.88
20,Bolivia,3577.0,164.0,-16.2902,-63.5887,Americas,11513100,1098581,10.48
21,Bosnia and Herzegovina,2236.0,128.0,43.9159,17.6791,Europe,3301000,51209,64.46
22,Botswana,24.0,1.0,-22.3285,24.6849,Africa,2254068,581730,3.87
23,Brazil,220291.0,14962.0,-14.235,-51.9253,Americas,211049527,8515767,24.78
24,Brunei,141.0,1.0,4.5353,114.7277,Asia,433285,5765,75.16
25,Bulgaria,2138.0,102.0,42.7339,25.4858,Europe,7000119,111002,63.06
26,Burkina Faso,780.0,51.0,12.2383,-1.5616,Africa,20321378,274222,74.11
27,Burma,182.0,6.0,21.9162,95.956,Asia,53582855,676578,79.2
28,Burundi,15.0,1.0,-3.3731,29.9189,Africa,11745876,27834,422.0
29,Cabo Verde,326.0,2.0,16.5388,-23.0418,Africa,549935,4033,136.36
30,Cambodia,122.0,0.0,11.55,104.9167,Asia,16486542,181035,91.07
31,Cameroon,3105.0,140.0,3.848,11.5021,Africa,25876380,475442,54.43
32,Canada,75945.0,5678.0,53.9333,-116.5765,Americas,75869886,18897317,84.03000000000003
33,Central African Republic,301.0,0.0,6.6111,20.9394,Africa,4745185,622984,7.62
34,Chad,428.0,48.0,15.4542,18.7322,Africa,15946876,1284000,12.42
35,Chile,39542.0,394.0,-35.6751,-71.543,Americas,18952038,756102,25.07
36,China,84038.0,4637.0,31.8257,117.2264,Asia,2823428070,19213819,42457.48999999999
37,Colombia,14216.0,546.0,4.5709,-74.2973,Americas,50339443,1141748,44.09
38,Congo (Brazzaville),391.0,15.0,-4.0383,21.7587,Africa,5380508,342000,15.73
39,Congo (Kinshasa),1298.0,50.0,-4.0383,21.7587,Africa,86790567,2344858,37.01
40,Costa Rica,843.0,9.0,9.7489,-83.7534,Americas,5047561,51100,98.78
41,Cote d'Ivoire,2017.0,24.0,7.54,-5.5471,Africa,25716544,322463,79.75
