,Country_Region,ConfirmedCases,Fatalities,lat,lon,continent,population,area,density
171,US,1442653.0,87525.0,32.3182,-86.9023,Americas,660004393,13647428,7772.279999999997
138,Russia,262843.0,2418.0,60.0,90.0,Europe,145872256,17098246,8.53
175,United Kingdom,238004.0,34078.0,18.2206,-63.0686,Europe,68041425,256671,8535.359999999999
156,Spain,230183.0,27459.0,40.0,-4.0,Europe,46736776,505992,92.37
84,Italy,223885.0,31610.0,43.0,12.0,Europe,60550075,301339,200.94
23,Brazil,220291.0,14962.0,-14.235,-51.9253,Americas,211049527,8515767,24.78
61,France,179630.0,27532.0,3.9339,-53.1258,Europe,67919979,752910,3671.4099999999994
65,Germany,175233.0,7897.0,51.0,9.0,Europe,83517045,357114,233.87
170,Turkey,146457.0,4055.0,38.9637,35.2433,Asia,83429615,783562,106.47
80,Iran,116635.0,6902.0,32.0,53.0,Asia,82913906,1648195,50.31
